food_id,alias,alias_type,language
food_d672d1c4,coconut burfi,primary,en
food_d672d1c4,nariyal ki burfi,regional,hi
food_4f191d66,coconut chutney,primary,en
food_4f191d66,nariyal ki chutney,regional,hi
food_87607a74,coconut finger,primary,en
food_5a07b8a0,coconut flakes,primary,en
food_01b7554f,coconut kheer,primary,en
food_01b7554f,nariyal ki kheer,regional,hi
food_077dfaa1,coconut milk,primary,en
food_d50a7572,coconut pickle,primary,en
food_d50a7572,nariyal ka aachar,regional,hi
food_6188290e,coconut shrimp,primary,en
food_52179bb8,coconut water,primary,en
food_5677dbd9,cod,primary,en
food_2f05b2e8,coffee,primary,en
food_1ab2ada8,coffee beans,primary,en
food_b147c329,coffee biscuit,primary,en
food_0717bb42,coffee drops,primary,en
food_6cea188b,coffee ice cream,primary,en
food_68e28492,coffee liqueur,primary,en
food_bd7e1121,coffee pear alaska,primary,en
food_c343de52,cold chocolate souffle,primary,en
food_81232ad9,cold coffee,primary,en
food_81232ad9,with cream,regional,hi
food_a32173ad,cold coffee with ice cream,primary,en
food_365f4731,cold cucumber cream soup,primary,en
food_4cc62226,cold cucumber soup,primary,en
food_4cc62226,thanda kheere ka soup,regional,hi
food_76bfc23b,cold lemon souffle,primary,en
food_5fc442cd,cold orange souffle,primary,en
food_d24d39cb,cold pineapple souffle,primary,en
food_551cc20f,cold summer garden soup,primary,en
food_fdb572f0,cold tomato soup,primary,en
food_97da20a3,cold vanilla souffle,primary,en
food_3c1454dd,coleslaw,primary,en
food_0f9d20a1,collard greens,primary,en
food_e6f4a28b,congee,primary,en
food_cabd6d28,consomme au julienne,primary,en
food_c898cd34,consomme au vermicelli,primary,en
food_009757af,coriander,primary,en
food_8696416e,coriander chutney,primary,en
food_8696416e,hare dhaniye ki chutney,regional,hi
food_483ac450,corn,primary,en
food_594a568f,corn flakes,primary,en
food_6ff2b980,corn nuts,primary,en
food_49f3a795,corn omelette/omlet,primary,en
food_633ef6f5,corn on the cob,primary,en
food_911e269e,corn tortilla,primary,en
food_f3561f3f,cornflakes with milk,primary,en
food_74127256,cottage cheese,primary,en
food_b03ea636,cottage cheese pie,primary,en
food_f6344f16,crab cakes,primary,en
food_8c868dcc,cracked wheat and green gram dal premix,primary,en
food_8c868dcc,dalia moong dal premix,regional,hi
food_54bf9ca5,cracked wheat khichri/khichdi,primary,en
